Name,Agrivoltaic Activities,System Size,Site Size,Year Installed,PV Technology,Type Of Array,Habitat Type,Crop Types,Animal Type
InSPIRE/Sites/Abel,Habitat,2.4,17,2020,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Acturus Community Solar,Habitat,1.5,7.6,2018,,Fixed,Native grasses,,
InSPIRE/Sites/Agard-enfield,Grazing,2.3,4.5,2017,Monofacial PV,Fixed,,,Sheep
InSPIRE/Sites/Agawam,Habitat,1.8,9,2012,,Fixed,Pollinator,,
InSPIRE/Sites/Albany,"Habitat,Grazing",15.2,100.8,2016,Monofacial PV,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Alden Road Harvard Solar 1,Habitat,2.4,15.1,2020,,Fixed,Pollinator,,
InSPIRE/Sites/All In Solar,Habitat,1.4,8.5,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Alliant Energy Solar Farm at Iowa State University,"Crop Production,Habitat",1.375,6,2023,Bifacial PV,Single-axis Tracking,Pollinator,"Broccoli, bell pepper, raspberry, summer squash, strawberry",
"InSPIRE/Sites/Allis Medina Solar, LLC (CSG)",Grazing,7.3,20.2,2020,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Allium Community Solar Garden,Habitat,1.5,7.6,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Altair Community Solar Garden,Habitat,1.5,11.5,2019,,Fixed,Native grasses,,
InSPIRE/Sites/American Bottoms,Habitat,1.8,6,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/American Kings Solar,Grazing,172.3,665,2020,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Ames Electric Services Power Plant,"Habitat,Grazing",2.2,10,2020,,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Amherst Sunderland Road,"Habitat,Grazing",4.03,13.7,2019,,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Anderson Community Solar Garden,Habitat,1,7,2022,,Fixed,Pollinator,,
InSPIRE/Sites/Andromeda Community Solar,"Habitat,Grazing",6.5,30.02,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Animal Farm Cook Campus,"Habitat,Grazing",0.17,2.89,2024,Bifacial PV,Fixed,,Hay,Cows
InSPIRE/Sites/Annandale,Habitat,9.1,66.22,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Anoka County MN CONX,Habitat,4.6,18,2018,Monofacial PV,Fixed,Pollinator,,
InSPIRE/Sites/Antares Community Solar,"Habitat,Grazing",3.9,18.1,2018,Other,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Antlia Community Solar,"Habitat,Grazing",2.6,18.64,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Aquarius Community Solar,Habitat,1.5,11.1,2019,,Fixed,Native grasses,,
InSPIRE/Sites/Arcadia Solar,Habitat,6.8,30,2019,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Argo Navis Community Solar,"Habitat,Grazing",3.9,21.54,2018,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Aries Community Solar,Habitat,5.2,23.12,2017,Other,Fixed,Pollinator,,
